Source,Target,Weight
%r$818,yLiegbkP<QfWDkuKq120,30
xrMDO`KnEahG,NCjMjCIN_jV#MvaT@VXS#906,27
MWFYZIHFsQA,"KbE,gIagYGiaNm/lgedp",17
";yQX*=848",zrqKXDM100,4
No>lcLzuAgd&jhYd.Cx,"SNxWS]e;Km",38
X+l,Hlz*I,46
RFatiLBG,KnbHhZXe/jD,18
@nCSWZK<,EIx]U,18
Il&dz,vyKw230,21
SZgUxfJJIlNBChyQEeGA799,ZIu#VHP&$,4
YuclrtOxRJ@`K$P520,defdMSBFveInAAtCX,23
BDBmi?(jt,_Ny+au,28
ONKxAhb,i#qPtLKehSFnhVbFnQZ<,15
ADxA?ZWbswpZVKYYKTNMp,"VvuNcXwRBcHMZSM,H=E",28
#p<NKWCiv730,A[)`H,37
gbK`$,sdvwD?qKfkDmQDYg105,2
XjUFPbJnT+Yy#ai-392,sAlqpncLXLYxCFXX-473,18
iNbgJHUBg`HMZ_zNf^M,"BFUK;keg",47
"IH>DdjUto,AatbdVc]374",'ej$T],44
fTrMqjFqLqQbajIEFqh,"av*,wM",36
$^GtkKKM$gfY,\mFhJvoAWI%ATteGl,15
"zxhTkkptqeueZa;K 656",cgMqysYNNk^gcPFBDjKww,4
g.&h,ZFUPItFIzwPbZaOObcm,30
"bJdnjKyWjBUzy imvik=bu",ZecOcra<bTO`UKI122,3
cL\h@@,l,19
BYrTVWFqj,#e@_?811,20
"haD/Aiew,nh;RYRgv",PZW^NWH&nqFf$483,33
-SjwnPBvk&m,sLniOi[R?mlUVAEuHM\c775,11
gUFKKWCwcJwUvYPTVc,GT`XvqoQFyMPi,8
Eluu%/,";CWEUAywq",18
QUJxEfLSqqPjNOSpTcsn,_\jmmqmsUgbP,6
",MnGX< pqpwCiUMnnr",rbRz\QLAMkUlEbN,40
Nf[FXTouqrCRz,OjadDv351,47
oudzzFFSTWjxhFbjSJ,"Cq;o'KbNaDZWFwyBVo<RNT",8
"dSBdGdyzY&DPKTxNzo,970",X^Cga<QkK+tZuxkOLl+340,38
OgybYYYtxsWwL)556,QYqhsf=,1
Cl^kBHUWX'*xxe,"<a[ITVb;tqi",36
jFx,dXndASBhmG,31
[hAyUDkoFWJy,on+>ET&.300,18
"uvAp(,ox",v(139,12
dNfsAURGeecOtvSkao,WAJFJL,42
a'BCSAa,TH?Gwj,23
Ymg=681,RsjdciBXwEh%154,1
fXAwKRyBWxv,H<,27
kxqMTlyHFweAPbs,QgD`)?a,33
Mj$s?DAzKg[834,ywQcC&rMd,39
r-(\ftq,xtPi>+G,25
uNzytnByJKrePnTJhgn,"' S",27
